interval,gameId,player,exercise,q_score,reward
0,510,A. Davis - davisan02,False,3.5945032,0.0
1,510,A. Davis - davisan02,False,4.2550583,3.935447262908734
2,510,A. Davis - davisan02,False,1.7916533,0.0
3,510,A. Davis - davisan02,True,1.7155396,2.8063417887262005
4,510,A. Davis - davisan02,True,0.19342497,0.0
0,552,A. Davis - davisan02,False,5.7413316,0.0
1,552,A. Davis - davisan02,False,4.805893,0.0
2,552,A. Davis - davisan02,False,6.53806,0.0
3,552,A. Davis - davisan02,False,8.8853655,3.4509314477515005
4,552,A. Davis - davisan02,True,11.524422,9.267908597001998
0,593,A. Davis - davisan02,False,4.5429955,0.0
1,593,A. Davis - davisan02,False,5.5831795,3.565622747479459
2,593,A. Davis - davisan02,False,5.2221155,2.131245494958918
3,593,A. Davis - davisan02,False,6.2395506,3.696868242438377
4,593,A. Davis - davisan02,True,6.2524705,0.26249098991783626
0,594,A. Davis - davisan02,False,3.4231207,0.0
1,594,A. Davis - davisan02,False,3.9323509,3.3601987814850913
2,594,A. Davis - davisan02,True,3.9491756,5.720397562970183
3,594,A. Davis - davisan02,True,3.7658641,8.080596344455273
4,594,A. Davis - davisan02,True,1.8682636,3.4407951259403653
0,635,A. Davis - davisan02,False,3.1817474,0.0
1,635,A. Davis - davisan02,False,2.9123266,0.0
2,635,A. Davis - davisan02,False,1.4253907,0.0
3,635,A. Davis - davisan02,False,0.6497673,0.0
4,635,A. Davis - davisan02,True,0.922804,0.0
0,677,A. Davis - davisan02,False,4.7321773,0.0
1,677,A. Davis - davisan02,False,5.3197203,0.0
2,677,A. Davis - davisan02,False,5.338893,0.0
3,677,A. Davis - davisan02,False,9.023398,7.812990867747718
4,677,A. Davis - davisan02,True,10.002904,8.750654490330291
0,723,A. Davis - davisan02,False,4.9707,0.0
1,723,A. Davis - davisan02,False,7.0948243,6.598434506231181
2,723,A. Davis - davisan02,False,4.8988886,0.0
3,723,A. Davis - davisan02,False,3.7938015,0.0
4,723,A. Davis - davisan02,True,5.2125607,0.0
0,765,A. Davis - davisan02,False,5.3316975,0.0
1,765,A. Davis - davisan02,False,7.6831455,5.975465959610711
2,765,A. Davis - davisan02,False,8.048271,4.950931919221421
