Interval,CumulativePlayerPointsInterval,Player,GameId,Date,Team,Opponent,Home,TeamRest,OpponentTeamRest,CumulativeTeamPointsInterval,CumulativeOpponentPointsInterval,ScoreMarginInterval,ScoreMarginxTimeRemainingInterval,ScoreMarginxTimeRemaining2Interval,RollingAvgPlayerPoints,RollingAverageOpposingTeamAllowedPoints,RollingAverageTeamPoints
1,16.0,A. Bradley - bradlav01,646,2019-02-12,MEM,MEM,1,3.0,3.0,33,20,13,468.0,16848.0,16.066837608348568,120.09706465912689,104.30656025559736
2,19.0,A. Bradley - bradlav01,646,2019-02-12,MEM,MEM,1,3.0,3.0,58,57,1,24.0,576.0,16.066837608348568,120.09706465912689,104.30656025559736
3,29.0,A. Bradley - bradlav01,646,2019-02-12,MEM,MEM,1,3.0,3.0,86,94,-8,96.0,1152.0,16.066837608348568,120.09706465912689,104.30656025559736
4,33.0,A. Bradley - bradlav01,646,2019-02-12,MEM,MEM,1,3.0,3.0,107,108,-1,0.0,0.0,16.066837608348568,120.09706465912689,104.30656025559736
0,0.0,A. Bradley - bradlav01,885,2019-03-03,MEM,MEM,0,1.0,1.0,0,0,0,0.0,0.0,19.61113635772426,112.83318832572735,107.61598654359484
1,5.0,A. Bradley - bradlav01,885,2019-03-03,MEM,MEM,0,1.0,1.0,28,25,3,108.0,3888.0,19.61113635772426,112.83318832572735,107.61598654359484
2,7.0,A. Bradley - bradlav01,885,2019-03-03,MEM,MEM,0,1.0,1.0,52,46,6,144.0,3456.0,19.61113635772426,112.83318832572735,107.61598654359484
3,18.0,A. Bradley - bradlav01,885,2019-03-03,MEM,MEM,0,1.0,1.0,75,67,8,96.0,1152.0,19.61113635772426,112.83318832572735,107.61598654359484
4,27.0,A. Bradley - bradlav01,885,2019-03-03,MEM,MEM,0,1.0,1.0,95,99,-4,0.0,0.0,19.61113635772426,112.83318832572735,107.61598654359484
0,0.0,A. Bradley - bradlav01,1291,2019-03-16,MEM,MEM,0,3.0,3.0,0,0,0,0.0,0.0,15.41792742155953,121.22566854170225,122.1626706761446
1,9.0,A. Bradley - bradlav01,1291,2019-03-16,MEM,MEM,0,3.0,3.0,37,35,2,72.0,2592.0,15.41792742155953,121.22566854170225,122.1626706761446
2,9.0,A. Bradley - bradlav01,1291,2019-03-16,MEM,MEM,0,3.0,3.0,71,69,2,48.0,1152.0,15.41792742155953,121.22566854170225,122.1626706761446
