interval,gameId,player,exercise,q_score,reward
1,380,A. Burks - burksal01,False,5.0813546,4.9502369668246455
2,380,A. Burks - burksal01,False,6.326563,5.900473933649291
3,380,A. Burks - burksal01,True,10.431859,11.850710900473937
4,380,A. Burks - burksal01,True,9.935705,11.800947867298582
0,405,A. Burks - burksal01,False,3.3675063,0.0
1,405,A. Burks - burksal01,False,2.8706264,0.6999140971466185
2,405,A. Burks - burksal01,False,4.3477416,1.399828194293237
3,405,A. Burks - burksal01,False,4.5055523,3.0997422914398562
4,405,A. Burks - burksal01,True,1.2405897,0.0
0,465,A. Burks - burksal01,False,3.6796238,0.0
1,465,A. Burks - burksal01,False,2.71911,0.0
2,465,A. Burks - burksal01,False,1.1933526,0.0
3,465,A. Burks - burksal01,False,2.3011632,0.0
4,465,A. Burks - burksal01,True,2.4178505,0.0
0,551,A. Burks - burksal01,False,3.5392592,0.0
1,551,A. Burks - burksal01,False,5.69133,5.128586256961375
2,551,A. Burks - burksal01,True,3.1831386,3.2571725139227503
3,551,A. Burks - burksal01,False,2.6378727,0.0
4,551,A. Burks - burksal01,True,1.308221,0.0
0,552,A. Burks - burksal01,False,3.5559955,0.0
1,552,A. Burks - burksal01,False,4.085001,2.441843100816353
2,552,A. Burks - burksal01,False,8.709301,7.883686201632706
3,552,A. Burks - burksal01,True,9.898193,10.325529302449059
4,552,A. Burks - burksal01,True,10.517577,10.767372403265412
0,593,A. Burks - burksal01,False,3.1944766,0.0
1,593,A. Burks - burksal01,False,7.056131,5.854900632545345
2,593,A. Burks - burksal01,True,5.355315,5.7098012650906895
3,593,A. Burks - burksal01,False,4.321166,3.5647018976360343
4,593,A. Burks - burksal01,True,1.7127053,0.0
0,674,A. Burks - burksal01,False,2.5209465,0.0
1,674,A. Burks - burksal01,False,2.7334065,1.171764455519971
2,674,A. Burks - burksal01,False,2.327385,0.0
3,674,A. Burks - burksal01,False,0.71374834,0.0
4,674,A. Burks - burksal01,True,0.108216554,0.0
0,675,A. Burks - burksal01,False,3.6259937,0.0
1,675,A. Burks - burksal01,False,3.1806934,0.7857142857142856
2,675,A. Burks - burksal01,True,4.591038,5.571428571428571
3,675,A. Burks - burksal01,False,2.742845,1.3571428571428577
4,675,A. Burks - burksal01,True,2.5823545,1.1428571428571423
0,775,A. Burks - burksal01,False,2.9561412,0.0
1,775,A. Burks - burksal01,True,3.9610138,4.241986401165614
2,775,A. Burks - burksal01,False,3.536108,1.4839728023312286
3,775,A. Burks - burksal01,True,3.133103,5.725959203496842
4,775,A. Burks - burksal01,True,3.214373,3.9679456046624573
0,816,A. Burks - burksal01,False,2.2862873,0.0
1,816,A. Burks - burksal01,False,1.3240169,0.0
2,816,A. Burks - burksal01,False,0.76296794,0.0
3,816,A. Burks - burksal01,False,0.37604907,0.0
4,816,A. Burks - burksal01,True,1.0773526,0.0
0,848,A. Burks - burksal01,False,2.4915519,0.0
1,848,A. Burks - burksal01,False,0.93876636,0.0
2,848,A. Burks - burksal01,False,0.89916384,0.0
3,848,A. Burks - burksal01,False,2.4493864,0.22418352703474298
4,848,A. Burks - burksal01,True,5.0159144,3.298911369379658
0,872,A. Burks - burksal01,False,3.4948318,0.0
1,872,A. Burks - burksal01,False,2.1657004,0.0
2,872,A. Burks - burksal01,False,3.801452,3.0997422914387815
3,872,A. Burks - burksal01,True,4.3812823,4.649613437158173
4,872,A. Burks - burksal01,True,5.505177,5.199484582877563
0,927,A. Burks - burksal01,False,3.2097113,0.0
1,927,A. Burks - burksal01,False,1.9772745,0.0
2,927,A. Burks - burksal01,False,1.8063504,0.8655946353285948
3,927,A. Burks - burksal01,False,2.7322192,1.7983919529928922
4,927,A. Burks - burksal01,True,2.3480937,0.0
0,928,A. Burks - burksal01,False,3.9325166,0.0
1,928,A. Burks - burksal01,False,6.012395,3.701325623019339
2,928,A. Burks - burksal01,False,3.3966253,0.40265124603867797
3,928,A. Burks - burksal01,True,7.32514,8.103976869058016
4,928,A. Burks - burksal01,True,11.212819,11.805302492077356
0,948,A. Burks - burksal01,False,3.2676578,0.0
1,948,A. Burks - burksal01,False,2.6681356,0.0
2,948,A. Burks - burksal01,False,1.1832368,0.0
3,948,A. Burks - burksal01,False,0.105261534,0.0
4,948,A. Burks - burksal01,True,4.266755,4.79922687433031
0,966,A. Burks - burksal01,False,2.8871627,0.0
1,966,A. Burks - burksal01,False,1.8985937,0.0
2,966,A. Burks - burksal01,False,2.9607072,0.0
3,966,A. Burks - burksal01,False,1.3827415,0.0
4,966,A. Burks - burksal01,True,0.23665407,0.0
0,1002,A. Burks - burksal01,False,3.810347,0.0
1,1002,A. Burks - burksal01,False,4.197817,1.1326442747863972
2,1002,A. Burks - burksal01,False,1.9962327,0.0
3,1002,A. Burks - burksal01,False,1.3949653,0.0
4,1002,A. Burks - burksal01,True,9.969235,8.530577099145589
0,1079,A. Burks - burksal01,False,3.3317218,0.0
1,1079,A. Burks - burksal01,False,4.549127,3.2237518451802867
2,1079,A. Burks - burksal01,False,4.8266973,4.447503690360573
3,1079,A. Burks - burksal01,True,4.766649,5.67125553554086
4,1079,A. Burks - burksal01,True,5.6135015,4.895007380721147
0,1080,A. Burks - burksal01,False,2.7503076,0.0
1,1080,A. Burks - burksal01,True,4.15046,4.697249603227467
2,1080,A. Burks - burksal01,False,2.3800738,0.39449920645493464
3,1080,A. Burks - burksal01,False,1.5084745,0.0
4,1080,A. Burks - burksal01,True,2.9408584,2.7889984129098693
0,1122,A. Burks - burksal01,False,3.5024765,0.0
1,1122,A. Burks - burksal01,True,6.2631516,7.9806376414153
2,1122,A. Burks - burksal01,True,4.7986317,5.9612752828306
3,1122,A. Burks - burksal01,True,5.788,5.9419129242459015
4,1122,A. Burks - burksal01,True,9.116238,9.9225505656612
0,427,A. Davis - davisan02,False,3.124391,0.0
1,427,A. Davis - davisan02,False,3.5091045,1.8055149157965715
2,427,A. Davis - davisan02,False,1.0459409,0.0
3,427,A. Davis - davisan02,False,0.20683041,0.0
4,427,A. Davis - davisan02,True,-0.14516494,0.0
0,468,A. Davis - davisan02,False,4.993495,0.0
1,468,A. Davis - davisan02,False,6.517041,1.8371962556984238
2,468,A. Davis - davisan02,False,6.584386,0.6743925113968476
3,468,A. Davis - davisan02,False,7.975957,4.511588767095272
4,468,A. Davis - davisan02,True,7.1880674,1.3487850227936953
0,469,A. Davis - davisan02,False,4.072216,0.0
1,469,A. Davis - davisan02,False,5.0577836,2.75
2,469,A. Davis - davisan02,True,5.2285233,5.5
3,469,A. Davis - davisan02,True,4.5740275,6.25
4,469,A. Davis - davisan02,True,2.7275386,0.0
0,494,A. Davis - davisan02,False,4.279471,0.0
1,494,A. Davis - davisan02,False,1.8276652,0.0
2,494,A. Davis - davisan02,False,3.648584,0.0
3,494,A. Davis - davisan02,False,3.248066,0.0
4,494,A. Davis - davisan02,True,0.77768254,0.0
0,495,A. Davis - davisan02,False,4.5349083,0.0
1,495,A. Davis - davisan02,False,4.4868407,0.0
2,495,A. Davis - davisan02,False,2.2323682,0.0
3,495,A. Davis - davisan02,False,5.435856,1.9132532980832337
4,495,A. Davis - davisan02,True,7.4479914,2.551004397444313
0,496,A. Davis - davisan02,False,4.260519,0.0
1,496,A. Davis - davisan02,False,2.876473,0.0
2,496,A. Davis - davisan02,False,1.2657069,0.0
3,496,A. Davis - davisan02,False,3.0804753,0.0
4,496,A. Davis - davisan02,True,4.6695504,0.0
0,497,A. Davis - davisan02,False,4.2265706,0.0
1,497,A. Davis - davisan02,False,10.010491,9.592105263157896
2,497,A. Davis - davisan02,True,10.294546,12.184210526315791
3,497,A. Davis - davisan02,False,10.475862,9.776315789473685
4,497,A. Davis - davisan02,True,6.814506,3.3684210526315823
0,499,A. Davis - davisan02,False,4.552047,0.0
1,499,A. Davis - davisan02,False,5.3588896,1.0584319547287206
2,499,A. Davis - davisan02,False,7.56377,6.116863909457441
3,499,A. Davis - davisan02,False,8.20536,4.175295864186161
4,499,A. Davis - davisan02,True,5.658347,0.0
0,500,A. Davis - davisan02,False,4.2858357,0.0
1,500,A. Davis - davisan02,False,4.9274654,0.7225831549003372
2,500,A. Davis - davisan02,False,4.7875457,0.4451663098006744
3,500,A. Davis - davisan02,False,5.2614965,2.1677494647010107
4,500,A. Davis - davisan02,True,2.8417394,0.0
0,501,A. Davis - davisan02,False,3.803424,0.0
1,501,A. Davis - davisan02,False,7.5738683,6.95367661052075
2,501,A. Davis - davisan02,True,6.340867,6.9073532210415
3,501,A. Davis - davisan02,True,4.843489,4.86102983156225
4,501,A. Davis - davisan02,True,7.5044055,6.814706442083001
0,502,A. Davis - davisan02,False,4.3115654,0.0
1,502,A. Davis - davisan02,False,6.962159,3.0324483158075104
2,502,A. Davis - davisan02,False,7.9937944,3.064896631615021
3,502,A. Davis - davisan02,False,9.238985,3.097344947422531
4,502,A. Davis - davisan02,True,7.546041,0.1297932632300416
0,506,A. Davis - davisan02,False,4.246668,0.0
1,506,A. Davis - davisan02,False,4.145108,0.0
2,506,A. Davis - davisan02,False,1.3817195,0.0
3,506,A. Davis - davisan02,False,1.1488882,0.0
4,506,A. Davis - davisan02,True,2.7826343,0.0
0,508,A. Davis - davisan02,False,4.4241037,0.0
1,508,A. Davis - davisan02,False,7.1458697,4.499172433856155
2,508,A. Davis - davisan02,False,4.3201537,1.9983448677123103
3,508,A. Davis - davisan02,False,8.641058,8.497517301568465
4,508,A. Davis - davisan02,True,9.135598,5.996689735424621
0,512,A. Davis - davisan02,False,4.3264337,0.0
1,512,A. Davis - davisan02,False,3.9438539,0.0
2,512,A. Davis - davisan02,False,5.2655487,0.0
3,512,A. Davis - davisan02,False,3.9720259,0.0
4,512,A. Davis - davisan02,True,3.6245031,0.0
0,513,A. Davis - davisan02,False,4.2901063,0.0
1,513,A. Davis - davisan02,False,8.974822,6.538753891380429
2,513,A. Davis - davisan02,False,9.52058,5.077507782760858
3,513,A. Davis - davisan02,False,14.098415,9.616261674141285
4,513,A. Davis - davisan02,True,11.843376,4.155015565521715
0,514,A. Davis - davisan02,False,4.208753,0.0
1,514,A. Davis - davisan02,False,1.9236465,0.0
2,514,A. Davis - davisan02,False,1.3735288,0.0
3,514,A. Davis - davisan02,False,2.544887,0.0
4,514,A. Davis - davisan02,True,6.9300413,0.0
0,515,A. Davis - davisan02,False,5.0990925,0.0
1,515,A. Davis - davisan02,False,10.534698,8.100000000000001
2,515,A. Davis - davisan02,False,9.581188,4.200000000000003
3,515,A. Davis - davisan02,False,19.952337,16.300000000000004
4,515,A. Davis - davisan02,True,13.675074,8.400000000000006
0,516,A. Davis - davisan02,False,3.3661726,0.0
1,516,A. Davis - davisan02,False,6.9795337,5.815067406819983
2,516,A. Davis - davisan02,False,6.2899346,3.630134813639966
3,516,A. Davis - davisan02,False,9.907858,7.445202220459947
4,516,A. Davis - davisan02,True,6.7275267,1.260269627279932
0,520,A. Davis - davisan02,False,3.7018108,0.0
1,520,A. Davis - davisan02,False,3.9307323,0.0
2,520,A. Davis - davisan02,False,1.5202419,0.0
3,520,A. Davis - davisan02,False,2.1126032,0.0
4,520,A. Davis - davisan02,True,6.8574896,2.0231775345039296
0,521,A. Davis - davisan02,False,6.588091,0.0
1,521,A. Davis - davisan02,False,11.829107,7.715037010508089
2,521,A. Davis - davisan02,False,12.861385,8.430074021016178
3,521,A. Davis - davisan02,False,16.809954,14.145111031524266
4,521,A. Davis - davisan02,True,18.62353,12.860148042032357
0,522,A. Davis - davisan02,False,4.3468423,0.0
1,522,A. Davis - davisan02,False,5.2087703,1.341834067897068
2,522,A. Davis - davisan02,False,4.1178393,0.6836681357941359
3,522,A. Davis - davisan02,False,2.58295,0.0
4,522,A. Davis - davisan02,True,1.4587623,0.0
0,523,A. Davis - davisan02,False,4.6917205,0.0
1,523,A. Davis - davisan02,False,6.3226166,3.932256413518928
2,523,A. Davis - davisan02,False,7.1985946,4.864512827037856
3,523,A. Davis - davisan02,False,16.773376,15.796769240556785
4,523,A. Davis - davisan02,True,16.517054,13.729025654075713
0,524,A. Davis - davisan02,False,3.7024937,0.0
1,524,A. Davis - davisan02,False,3.5565007,0.0
2,524,A. Davis - davisan02,False,1.2163792,0.0
3,524,A. Davis - davisan02,True,-0.018276542,0.0
4,524,A. Davis - davisan02,True,-0.6513933,0.0
0,525,A. Davis - davisan02,False,3.5731297,0.0
1,525,A. Davis - davisan02,False,3.6429167,0.0
2,525,A. Davis - davisan02,False,2.893417,0.0
3,525,A. Davis - davisan02,False,1.0369269,0.0
4,525,A. Davis - davisan02,True,-0.09829363,0.0
0,526,A. Davis - davisan02,False,3.299221,0.0
1,526,A. Davis - davisan02,True,6.3030834,6.90822416307354
2,526,A. Davis - davisan02,True,6.461818,6.81644832614708
3,526,A. Davis - davisan02,True,9.463678,11.72467248922062
4,526,A. Davis - davisan02,True,10.15625,9.63289665229416
0,528,A. Davis - davisan02,False,4.4451146,0.0
1,528,A. Davis - davisan02,False,5.305811,1.258691575615253
2,528,A. Davis - davisan02,False,12.756491,12.517383151230506
3,528,A. Davis - davisan02,False,14.473053,13.77607472684576
4,528,A. Davis - davisan02,True,12.462751,10.034766302461012
0,529,A. Davis - davisan02,False,4.329134,0.0
1,529,A. Davis - davisan02,False,6.5666413,4.52740997093903
2,529,A. Davis - davisan02,False,5.871022,2.05481994187806
3,529,A. Davis - davisan02,False,6.1558022,2.582229912817091
4,529,A. Davis - davisan02,True,3.738097,0.0
0,530,A. Davis - davisan02,False,3.8998303,0.0
1,530,A. Davis - davisan02,False,10.397549,8.64838859796393
2,530,A. Davis - davisan02,False,11.156504,6.296777195927858
3,530,A. Davis - davisan02,False,7.131132,3.9451657938917855
4,530,A. Davis - davisan02,True,5.3773627,0.5935543918557151
0,534,A. Davis - davisan02,False,4.232022,0.0
1,534,A. Davis - davisan02,False,11.12751,11.059706924520267
2,534,A. Davis - davisan02,False,8.841292,6.119413849040535
3,534,A. Davis - davisan02,False,12.86391,11.179120773560804
4,534,A. Davis - davisan02,True,13.599604,9.23882769808107
0,536,A. Davis - davisan02,False,3.4368534,0.0
1,536,A. Davis - davisan02,False,2.9457438,0.0
2,536,A. Davis - davisan02,False,1.3546326,0.0
3,536,A. Davis - davisan02,False,2.2764204,0.0
4,536,A. Davis - davisan02,True,1.138841,0.0
0,537,A. Davis - davisan02,False,3.5745397,0.0
1,537,A. Davis - davisan02,False,4.9824967,1.248758680913511
2,537,A. Davis - davisan02,False,3.5411875,0.0
3,537,A. Davis - davisan02,False,4.495817,0.7462760427405328
4,537,A. Davis - davisan02,True,0.9536114,0.0
0,538,A. Davis - davisan02,False,4.004722,0.0
1,538,A. Davis - davisan02,False,4.782071,1.6216811851233608
2,538,A. Davis - davisan02,False,2.1017535,0.0
3,538,A. Davis - davisan02,False,4.797482,1.8650435553700824
4,538,A. Davis - davisan02,True,5.613649,1.4867247404934432
0,539,A. Davis - davisan02,False,2.4206176,0.0
1,539,A. Davis - davisan02,True,6.035263,6.35
