Q Value Function,Season,Policy Reward,Policy Profit,Max Reward,Max Profit,Positive Reward,Positive Profit,Q2 Reward,Q2 Profit,Q4 Reward,Q4 Profit
LSPI,2019-20,2.984886156376416,-0.807267033928289,3.987953355948238,0.1958001656435341,2.3153963362238663,-1.476756854080844,1.8660927759449242,-1.9260604143597857,2.5607262513520967,-1.2314269389526147
LSPI,2018-19,3.1222311844595274,-0.5903362501103582,4.079990771578864,0.3674233370090027,2.3662653400759157,-1.3463020944939714,1.9230751653822797,-1.7894922691876038,2.499561336045327,-1.2130060985245614
DQN,2019-20,3.0070378543384,-0.10522690510296213,3.987953355948238,0.8756885965068743,2.3153963362238663,-0.7968684232175021,1.8660927759449242,-1.2461719834964404,2.5607262513520967,-0.5515385080892727
DQN,2018-19,3.1266805495033174,-0.3631263757222715,4.079990771578864,0.590183846353296,2.3662653400759157,-1.1235415851496757,1.9230751653822797,-1.5667317598433068,2.499561336045327,-0.9902455891802634
